,event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best,communal
6362,IND80832,21-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); INC: Indian National Congress,6,,,0,60,,356,South Asia,India,Chandigarh,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,3,Hindustan Times,National,"On 21 September 2020, INC members staged state-wide protests, in Haryana, coded as Chandigarh against the three agricultural ordinances.",0,crowd size=no report,1714518461,21915,123161,422580,21915,0
6365,IND80997,21-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),AASU: All Assam Students' Union; AJYCP: Asom Jatiyatabadi Yuva Chatra Parishad; Students (India),6,,,0,60,,356,South Asia,India,Assam,Lakhimpur,North Lakhimpur,North Lakhimpur,27.2351,94.1035,1,Assam Tribune,Subnational,"On 21 September 2020, activists of AJYCP and AASU took out a bike rally in Lakhimpur town (Lakhimpur district, Assam), demanding abolition of the Citizenship (Amendment) Act, 2019 (CAA).",0,crowd size=no report,1714518461,3764,8832,13305,3764,0
6377,IND80926,20-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Shiv Sena; DF: Dogra Front,6,,,0,60,,356,South Asia,India,Jammu and Kashmir,Jammu,Jammu,Jammu,32.7357,74.8691,1,Daily Excelsior,Subnational,"On 20 September 2020, Dogra Front and Shiv Sena protested at Jammu city (J&K) against Pakistan accusing it of promoting terrorism and narcotics in the state.",0,crowd size=no report,1601405480,27327,81459,106698,27327,0
6407,IND80580,20-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Maratha Caste Group (India),6,,,0,60,,356,South Asia,India,Maharashtra,Mumbai Suburban,Mumbai Suburban,Goregaon West,19.1639,72.8436,1,Indian Express,National,"On 20 September 2020, Maratha Kranti Morcha staged a protest in Goregaon (Mumbai suburban, Maharashtra), demanding reservations for employment and education. Protest were held in more than 20 places across Mumbai.",0,crowd size=no report,1618498080,127693,390036,539406,127693,0
6415,IND80744,20-Sep-20,2020,1,Political violence,Riots,Mob violence,Rioters (India),,5,,,0,50,,356,South Asia,India,Kerala,Kannur,Thalassery,Thalassery,11.7481,75.4929,1,The Hindu,National,"On 20 September 2020, a crude bomb was hurled at the house of a CPI(M) leader in Thalassery city (Kannur, KL). No injuries reported and the reason for the attack is not known.",0,crowd size=no report,1663104694,19554,71424,188246,71424,0
6427,IND80917,20-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BKU: Bharatiya Kisan Union; Farmers (India),6,,,0,60,,356,South Asia,India,Punjab,Hoshiarpur,Hoshiarpur,Hoshiarpur,31.5317,75.912,1,Indo-Asian News Service,Regional,"On 20 September 2020, farmers associated with BKU and other organisations, staged a protest, in Hoshiarpur (Punjab), against the three agricultural ordinances.",0,crowd size=no report,1709668847,7443,28471,95093,7443,0
6428,IND80966,20-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Government of India (2014-),6,,,0,60,,356,South Asia,India,Jammu and Kashmir,Kathua,Kathua,Kathua,32.3867,75.5174,1,Daily Excelsior,Subnational,"On 20 September 2020, local residents led by a sarpanch protested at Kathua city (J&K) over police harassment amidst the restrictions on movement due to coronavirus pandemic.",0,crowd size=no report,1712695428,48172,55853,63171,48172,0
6433,IND80877,20-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BKU: Bharatiya Kisan Union; Farmers (India),6,,,0,60,,356,South Asia,India,Punjab,Faridkot,Faridkot,Faridkot,30.6739,74.7557,1,Indo-Asian News Service,Regional,"On 20 September 2020, farmers associated with BKU and other organisations, staged a protest, in Faridkot (Punjab), against the three agricultural ordinances.",0,crowd size=no report,1714518461,4204,21741,57385,4204,0
6453,IND80753,19-Sep-20,2020,1,Political violence,Riots,Mob violence,Rioters (India),,5,Civilians (India),Health Workers (India),7,57,Civilian targeting,356,South Asia,India,Madhya Pradesh,Ujjain,Ujjain,Ujjain,23.1823,75.7764,1,Times of India,National,"On 19 September 2020, relatives of a coronavirus victim attacked doctors and paramedical staff in Ujjain town (Ujjain, MP), after being informed about the death of their relative. Police booked four people.",0,crowd size=at least 4,1601405481,16724,94725,322233,94725,0
6454,IND80609,19-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Rajasthan,Jaisalmer,Jaisalmer,Jaisalmer,26.9176,70.9038,2,Times of India,National,"On 19 September 2020, villagers and environmental activists started a 55km-long protest march in Jaisalmer district (Rajasthan), demanding conservation and bird protection of Oran (pasture land).",0,crowd size=no report,1601405481,9505,36107,134286,9505,0
6458,IND80335,19-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Students (India); AASU: All Assam Students' Union,6,,,0,60,,356,South Asia,India,Assam,Dhemaji,Dhemaji,Dhemaji,27.4816,94.5586,1,Sentinel (India),Subnational,"On 19 September 2020, activists of AASU in association with the flood-affected people locked down the Dhemaji Divisional Office of the Water Resources Department (WRD) while staging a massive protest at Dhemaji (Dhemaji district, Assam), against the alleged failure of the Department to control the recurrent flood problem in the district.",0,crowd size=massive,1667317137,2690,12390,33741,2690,0
6459,IND80236,19-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),CPI(M): Communist Party of India (Marxist),6,,,0,60,,356,South Asia,India,Tamil Nadu,Ramanathapuram,Rameswaram,Thangachimadam,9.2827,79.2441,1,Asian News International,National,"On 19 September 2020, members of the CPI(M) held a protest in Thangachimadam village (Ramanathapuram, TN) against three farmer bills at the Centre.",0,crowd size=no report,1680633736,5805,10323,23405,5805,0
6464,IND80972,19-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Government of India (2014-),6,,,0,60,,356,South Asia,India,Jammu and Kashmir,Jammu,Akhnoor,Kharal,33.066,74.7074,1,Daily Excelsior,Subnational,"On 19 September 2020, a large number of villagers including sarpanches protested at Kharal village (Reasi district, J&K) over no supply of water for past three weeks.",0,crowd size=large,1709668847,638,1606,5625,638,0
6486,IND80167,18-Sep-20,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (India),IYC: Indian Youth Congress,6,Police Forces of India (2014-),,1,16,,356,South Asia,India,Kerala,Kottayam,Kottayam,Kottayam,9.5869,76.5213,1,The Hindu,National,"On 18 September 2020, Youth Congress groups held a protest in Kottayam city (Kottayam, KL) demanding the resignation of a minister involved in a gold smuggling case. Police used tear gas and water cannons to disperse protesters.",0,crowd size=no report,1600790292,6680,45745,76511,6680,0
6490,IND80150,18-Sep-20,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (India),BJYM: Bharatiya Janata Yuva Morcha,6,Police Forces of India (2014-),,1,16,,356,South Asia,India,Kerala,Kasaragod,Kasaragod,Kasaragod,12.4983,74.9895,1,The Hindu,National,"On 18 September 2020, BJYM groups held a protest in Kasaragod city (Kasaragod, KL) demanding the resignation of a minister involved in a gold smuggling case. Police used tear gas and water cannons to disperse protesters.",0,crowd size=no report,1600790292,18497,72464,180245,18497,0
6491,IND80107,18-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),NSUI: National Students Union of India; Students (India),6,,,0,60,,356,South Asia,India,Rajasthan,Bundi,Bundi,Bundi,25.4385,75.6373,2,Times of India,National,"On 18 September 2020, NSUI staged a protest in Bundi district (Rajasthan) on the occasion of the Indian Prime Minister's birthday, holding banners and shouting slogans demanding employment.",0,crowd size=no report,1600790292,12053,37607,109987,12053,0
6511,IND80165,18-Sep-20,2020,1,Political violence,Riots,Mob violence,Rioters (India),BRS: Bharat Rashtra Samithi,5,Rioters (India),BRS: Bharat Rashtra Samithi,5,55,,356,South Asia,India,Telangana,Khammam,Konijerla,Konijerla,17.2225,80.2926,2,Hans India,Subnational,"On 18 September 2020, two groups of TRS (presently known as BRS) workers attacked each other in a village in Konijerla mandal (Khammam, TS) due to an argument over field dominance.",0,crowd size=no report,1676994422,6551,5110,4192,5110,0
6533,IND80096,17-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress; BJP: Bharatiya Janata Party,6,,,0,60,,356,South Asia,India,Kerala,Alappuzha,Ambalappuzha,Alappuzha,9.49,76.3264,1,Asian News International,National,"On 17 September 2020, INC and BJP members held a protest in Alappuzha city (Alappuzha, KL) demanding the resignation of a minister involved in a gold smuggling case.",0,crowd size=no report,1618498182,14928,65091,224376,14928,0
6571,IND80479,17-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Jammu and Kashmir,Srinagar,Srinagar South,Srinagar,34.0857,74.8056,1,Kashmir News Service,Subnational,"On 17 September 2020, Sakshaar Bharat employees protested at Srinagar city (J&K) to demand regularization.",0,crowd size=no report,1713291464,25567,80224,92688,25567,0
6573,IND80481,17-Sep-20,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (India),,5,Police Forces of India (2014-),,1,15,,356,South Asia,India,Jammu and Kashmir,Srinagar,Srinagar South,Srinagar,34.0857,74.8056,1,Daily Excelsior,Subnational,"On 17 September 2020, locals demonstrated and pelted stones at the security forces in Srinagar city (J&K) over the alleged killing of a woman by security forces.",0,crowd size=no report,1713291464,25567,80224,92688,80224,0
6575,IND80170,17-Sep-20,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (India),BJYM: Bharatiya Janata Yuva Morcha,6,Police Forces of India (2014-),,1,16,,356,South Asia,India,Kerala,Kozhikode,Kozhikode,Kozhikode,11.248,75.7804,1,Asian News International,National,"On 17 September 2020, Yuva Morcha members held a protest in Kozhikode city (Kozhikode, KL) demanding the resignation of a minister involved in a gold smuggling case. Police used tear gas and water cannons to disperse protesters.",0,crowd size=no report,1715717052,26167,82076,216156,26167,0
6603,IND80417,16-Sep-20,2020,1,Political violence,Riots,Mob violence,Rioters (India),BJP: Bharatiya Janata Party,5,,,0,50,,356,South Asia,India,Punjab,Ludhiana,Ludhiana East,Ludhiana,30.912,75.8537,1,Times of India,National,"On 16 September 2020, a mob of people, supported by BJP leaders, pelted stones and clashed with Greater Ludhiana Area Development Authority, in Ludhiana (Punjab), during a demolition drive.",0,crowd size=no report,1663104694,39353,117633,232013,117633,0
6606,IND80418,16-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),AIKS: All India Kisan Sabha; CITU: Centre of Indian Trade Unions; Farmers (India); Labor Group (India),6,,,0,60,,356,South Asia,India,Punjab,Ludhiana,Ludhiana East,Ludhiana,30.912,75.8537,1,Chandigarh Tribune,National,"On 16 September 2020, office-bearers and activists of various units of the All India Kisan Sabha, Khet Mazdoor Union and Centre of Indian Trade Unions staged a protest, in Ludhiana (Punjab), against the three farm ordinances.",0,crowd size=no report,1702343413,39353,117633,232013,39353,0
6618,IND80179,16-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),CPI(M): Communist Party of India (Marxist),6,,,0,60,,356,South Asia,India,Tamil Nadu,Madurai,Madurai South,Madurai,9.9174,78.1196,1,Times of India,National,"On 16 September 2020, members of the CPI(M) held a protest in Madurai city (Madurai, TN) against the police, for registering a case against the party's General Secretary.",0,crowd size=no report,1712695428,55716,174818,337125,55716,0
6620,IND80315,16-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Chandigarh,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,3,Indo-Asian News Service,Regional,"On 16 September 2020, farmers staged a state-wide protest, in Haryana (coded as Chandigarh), against the three agricultural ordinances.",0,crowd size=no report,1714518461,21915,123161,422580,21915,0
6638,IND80353,15-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Government of India (2014-),6,,,0,60,,356,South Asia,India,Uttarakhand,Nainital,Haldwani,Haldwani,29.2225,79.5286,1,Hindustan Times,National,"On 15 September 2020, a councillor along with his supporters, staged a protest and climbed a water tank, in Haldwani (Uttarakhand), demanding school fee waiver during coronavirus.",0,crowd size=no report,1600790291,23586,77399,214977,23586,0
6650,IND80122,15-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party; Adivasi Ethnic Group (India),6,,,0,60,,356,South Asia,India,Jharkhand,Dumka,Dumka,Dumka,24.2867,87.2431,2,Telegraph (India),National,"On 15 September 2020, BJP, Jharkhand Janadhikar Manch, Adivasi Sena and CNT Act Bachao Morcha jointly staged a protest in Dumka district (Jharkhand) against the Jharkhand Mutation Bill 2020 that was approved on September 8, saying that it provides protection to land grabbers. Protests were held at 24 revenue circles across Jharkhand's districts. .",0,crowd size=no report,1600790292,26435,72971,130386,26435,0
6653,IND80228,15-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party; Adivasi Ethnic Group (India),6,,,0,60,,356,South Asia,India,Jharkhand,Saraikela-Kharsawan,Saraikela,Saraikela,22.7023,85.9278,2,Telegraph (India),National,"On 15 September 2020, BJP, Jharkhand Janadhikar Manch, Adivasi Sena and CNT Act Bachao Morcha jointly staged a protest in Saraikela-Kharsawan district (Jharkhand, coded as Saraikela) against the Jharkhand Mutation Bill 2020 that was approved on September 8, saying that it provides protection to land grabbers. Protests were held at 24 revenue circles across Jharkhand's districts. .",0,crowd size=no report,1600790292,5592,15462,15773,5592,0
6667,IND80226,15-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party; Adivasi Ethnic Group (India),6,,,0,60,,356,South Asia,India,Jharkhand,Sahebganj,Sahibganj,Sahibganj,25.2442,87.6348,2,Telegraph (India),National,"On 15 September 2020, BJP, Jharkhand Janadhikar Manch, Adivasi Sena and CNT Act Bachao Morcha jointly staged a protest in Sahibganj district (Jharkhand) against the Jharkhand Mutation Bill 2020 that was approved on September 8, saying that it provides protection to land grabbers. Protests were held at 24 revenue circles across Jharkhand's districts. .",0,crowd size=no report,1618498236,42332,84281,109384,42332,0
6669,IND80139,15-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party; Adivasi Ethnic Group (India),6,,,0,60,,356,South Asia,India,Jharkhand,East Singhbhum,Golmuri-Cum-Jugsalai,Jamshedpur,22.8049,86.2025,2,Telegraph (India),National,"On 15 September 2020, BJP, Jharkhand Janadhikar Manch, Adivasi Sena and CNT Act Bachao Morcha jointly staged a protest in East Singhbhum district (Jharkhand, coded as Jamshedpur) against the Jharkhand Mutation Bill 2020 that was approved on September 8, saying that it provides protection to land grabbers. Protests were held at 24 revenue circles across Jharkhand's districts. .",0,crowd size=no report,1618498236,34845,120235,190193,34845,0
6700,IND80432,15-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),SP: Samajwadi Party,6,,,0,60,,356,South Asia,India,Uttar Pradesh,Moradabad,Moradabad,Moradabad,28.8389,78.7768,1,Times of India,National,"On 15 September 2020, SP members staged a protest, in Moradabad (UP), against rising crime and unemployment. Police booked around 78 protesters the next day.",0,crowd size=at least 78,1706054136,71812,235125,842056,71812,0
6702,IND80444,15-Sep-20,2020,1,Political violence,Violence against civilians,Attack,Police Forces of India (2014-),,1,Civilians (India),Journalists (India),7,17,Civilian targeting,356,South Asia,India,Jammu and Kashmir,Pulwama,Pulwama,Pulwama,33.8741,74.9001,2,Kashmir Monitor,Subnational,"On 15 September 2020, a journalist was assaulted by Indian security forces at Marwak village in Pulwama district (J&K), while covering an ongoing gunfight at Marwal village in Pulwama district",0,,1706649916,17509,37366,20530,37366,0
6714,IND80464,15-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),CPI(M): Communist Party of India (Marxist),6,,,0,60,,356,South Asia,India,West Bengal,Darjeeling,Matigara,Siliguri,26.7272,88.3984,1,Siliguri Times,Subnational,"On 15 September 2020, activists of CPI(M) staged a sit-in protest in Siliguri (Darjeeling district, West Bengal), against the increasing electricity bills amidst the coronavirus pandemic.",0,crowd size=no report,1714518461,6962,17537,30108,6962,0
6728,IND80149,14-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress; BJP: Bharatiya Janata Party,6,,,0,60,,356,South Asia,India,Kerala,Kasaragod,Kasaragod,Kasaragod,12.4983,74.9895,1,Deccan Chronicle,National,"On 14 September 2020, INC and BJP members held a protest in Kasaragod city (Kasaragod, KL) demanding the resignation of a minister involved in a gold smuggling case.",0,crowd size=no report,1600790291,18497,72464,180245,18497,0
6737,IND80215,14-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Shiv Sena,6,,,0,60,,356,South Asia,India,Maharashtra,Pune,Pune City,Pune,18.5195,73.8553,1,Pune Mirror,Subnational,"On 14 September 2020, four coronavirus patients, joined by Shiv Sena and a dispensed patient, staged a protest in the parking lot of a hospital in Pune city (Pune, Maharashtra) after there were no available beds in the hospital for them.",0,crowd size=at least 6,1618498254,100330,293708,1107906,100330,0
6785,IND80361,14-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,West Bengal,Jalpaiguri,Jalpaiguri,Jalpaiguri,26.5432,88.7163,2,Telegraph (India),National,"On 14 September 2020, tea estate employees and workers staged demonstrations at tea gardens in Jalpaiguri district (West Bengal), demanding a hike in their monthly salaries.",0,crowd size=no report,1706054136,5972,24125,91631,5972,0
6800,IND80445,14-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,West Bengal,Uttar Dinajpur,Raiganj,Raiganj,25.6128,88.1244,2,Telegraph (India),National,"On 14 September 2020, tea estate employees and workers staged demonstrations at tea gardens in Uttar Dinajpur district (coded as Raiganj, West Bengal), demanding a hike in their monthly salaries.",0,crowd size=no report,1714518461,33637,55674,89975,33637,0
6821,IND80237,13-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Tamil Nadu,Thanjavur,Thanjavur,Thanjavur,10.7852,79.139,1,New Indian Express,Subnational,"On 13 September 2020, farmers staged a protest in Thanjavur city (Thanjavur, TN) demanding a resolution be passed against the amendment to the electricity bill.",0,crowd size=no report,1600790291,9498,40192,103990,9498,0
6832,IND80423,13-Sep-20,2020,1,Political violence,Battles,Armed clash,Military Forces of India (2014-),Police Forces of India (2014-) Border Security Force,1,Military Forces of Pakistan (2018-2022),,8,18,,356,South Asia,India,Jammu and Kashmir,Poonch,Mendhar,Mankote,33.6233,74.0561,2,State Times (India),Subnational,"On 13 September 2020, military forces of India and Pakistan exchanged fire across the LoC at Mankote sector area (Poonch district, J&K).",0,,1650396996,21,2325,2697,2697,0
6841,IND80438,13-Sep-20,2020,1,Political violence,Battles,Armed clash,Military Forces of India (2014-) Rashtriya Rifles,Police Forces of India (2014-) Central Reserve Police Force; Police Forces of India (2014-) Special Operations Group,1,Kashmir Rebels (India),,2,12,,356,South Asia,India,Jammu and Kashmir,Pulwama,Pulwama,Parigam,33.9476,74.8872,1,Daily Excelsior,Subnational,"On 13 September 2020, RR, CRPF and SoG during a CASO exchanged fire with an unidentified group of 2-3 militants (coded as Kashmir Rebels) at Parigam town (Pulwama district, J&K).",0,,1706649916,2920,2640,5134,5134,0
6861,IND79704,12-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Police Forces of India (2014-); Labor Group (India),6,,,0,60,,356,South Asia,India,Jharkhand,Bokaro,Chas,Bokaro,23.6667,86.148,2,Times of India,National,"On 12 September 2020, around 80 assistant police personnel started a protest march from Bokaro city to the home of the Chief Minister in Ranchi city (Bokaro, Jharkhand), demanding regularization of their jobs.",0,crowd size=around 80,1618498311,20343,92966,289297,20343,0
6863,IND79849,12-Sep-20,2020,1,Political violence,Riots,Mob violence,Rioters (India),Government of India (2014-),5,Civilians (India),Journalists (India),7,57,Civilian targeting,356,South Asia,India,Tripura,South Tripura,Rajnagar,Belonia,23.2504,91.4679,2,Tripura Infoway,Subnational,"On 12 September 2020, a journalist working for a local newspaper was assaulted by a Panchayat Pradhan (Head of village level local administration) and his accomplices in Motai area of Belonia subdivision (South Tripura district, Tripura), after he tried reporting to complaints of people residing in the locality.",0,crowd size=no report,1618498316,3358,24363,41983,24363,0
6868,IND80185,12-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Shiv Sena,6,,,0,60,,356,South Asia,India,Maharashtra,Sangli,Miraj,Miraj,16.8159,74.6464,1,Pioneer (India),National,"On 12 September 2020, Shiv Sena members took out a procession in Miraj town (Sangli, Maharashtra) against an actress, due to her comments about the Chief Minister and likening Maharashtra to PoK.",0,crowd size=no report,1600790292,30443,66782,192575,30443,0
6872,IND80220,12-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Tamil Nadu,Virudhunagar,Rajapalayam,Rajapalayam,9.4529,77.5533,1,The Hindu,National,"On 12 September 2020, a sit in protest stared in Rajapalayam town (Virdhunagar, TN) demanding action against those involved in the murder of the district secretary. The protest is still ongoing as of 14 September 2020.",0,crowd size=no report,1603755490,19620,59916,145262,19620,0
6888,IND79751,12-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party; BJYM: Bharatiya Janata Yuva Morcha; INC: Indian National Congress; IYC: Indian Youth Congress,6,,,0,60,,356,South Asia,India,Kerala,Kottayam,Kottayam,Kottayam,9.5869,76.5213,2,Deccan Herald,National,"On 12 September 2020, members of the BJP, Yuva Morcha, INC and IYC demonstrated across Kottayam district (Kottayam, KL) demanding the resignation of a Minister allegedly involved in a gold smuggling case.",0,crowd size=no report,1702343413,6680,45745,76511,6680,0
6895,IND79781,12-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party; BJYM: Bharatiya Janata Yuva Morcha; INC: Indian National Congress; IYC: Indian Youth Congress,6,,,0,60,,356,South Asia,India,Kerala,Pathanamthitta,Kozhenchery,Pathanamthitta,9.2666,76.7833,2,Deccan Herald,Subnational,"On 12 September 2020, members of the BJP, Yuva Morcha, INC and IYC demonstrated across Pathanamthitta district (Pathanamthitta, KL) demanding the resignation of a Minister allegedly involved in a gold smuggling case.",0,crowd size=no report,1709668847,13585,33958,49087,13585,0
6896,IND80318,12-Sep-20,2020,1,Political violence,Riots,Mob violence,Rioters (India),BJP: Bharatiya Janata Party,5,Rioters (India),TMC: Trinamool Congress Party,5,55,,356,South Asia,India,West Bengal,South 24 Parganas,Gosaba,Chhota Molla Khali,22.2176,88.8781,1,Times of India,National,"On 12 September 2020, workers of BJP and TMC clashed with each other at Chhota Molla Khali (South 24 Parganas district, West Bengal), in an incident related to control over of territory. Police arrested four TMC workers in this connection.",0,crowd size=at least four,1712183452,5407,18273,112776,18273,0
6909,IND79790,11-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Goa,North Goa,Ponda,Ponda,15.4034,74.0151,2,Herald Goa,Subnational,"On 11 September 2020, around 100 villagers held a protest in a village near Ponda city (North Goa, Goa) against the removal of trees in the forest for Central government projects.",0,crowd size=around 100,1600187394,21615,26907,47624,21615,0
6915,IND80023,11-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),AAP: Aam Aadmi Party; Government of India (2014-),6,,,0,60,,356,South Asia,India,Punjab,Patiala,Patiala,Patiala,30.3362,76.3922,1,Times of India,National,"On 11 September 2020, AAP members led by party MLA, staged a protest, in Patiala (Punjab), seeking the dismissal of a Congress Minister, Dharamsot, for his alleged involvement in the post-matric scholarship scam.",0,crowd size=no report,1600187394,34336,93042,295169,34336,0
6920,IND80203,11-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Maratha Caste Group (India),6,,,0,60,,356,South Asia,India,Maharashtra,Solapur,Pandharpur,Pandharpur,17.6792,75.3309,1,Times of India,National,"On 11 September 2020, members of Maratha organisations burnt placards on roads in Pandharpur town (Solapur, Maharashtra), blaming the state government for not arguing the reservation case for the community in the Supreme Court.",0,crowd size=no report,1600790292,10932,27082,71464,10932,0
6930,IND79991,11-Sep-20,2020,1,Political violence,Battles,Armed clash,Military Forces of India (2014-),Police Forces of India (2014-) Border Security Force,1,Military Forces of Pakistan (2018-2022),,8,18,,356,South Asia,India,Jammu and Kashmir,Poonch,Mendhar,Mankote,33.6233,74.0561,2,Deccan Herald,National,"On 11 September 2020, military forces of India and Pakistan exchanged fire across the LoC at Mankote sector area (Poonch district, J&K).",0,,1702343413,21,2325,2697,2697,0
6931,IND79987,11-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India); Labor Group (India); Women (India),6,,,0,60,,356,South Asia,India,Punjab,Ludhiana,Ludhiana East,Ludhiana,30.912,75.8537,1,Chandigarh Tribune,National,"On 11 September 2020, ASHA workers staged a protest, in Ludhiana (Punjab), demanding the implementation of the Minimum Wages Act and job regularisation, during coronavirus.",0,crowd size=no report,1702343413,39353,117633,232013,39353,0
6947,IND79926,11-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Punjab,Jalandhar,Jalandhar-I,Jalandhar,31.3255,75.5791,1,Chandigarh Tribune,Subnational,"On 11 September 2020, activists of five labour unions staged a protest, in Jalandhar (Punjab), demanding better work conditions, loan waivers, ration and jobs during coronavirus.",0,crowd size=at least 5,1716919056,24121,93591,335294,24121,0
6959,IND80084,10-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),SUCI(C): Socialist Unity Centre of India (Communist),6,,,0,60,,356,South Asia,India,Assam,Sonitpur,Tezpur,Tezpur,26.6527,92.7938,1,Sentinel (India),Subnational,"On 10 September 2020, activists of Socialist Unity Centre of India (Communist) staged a strong protest at Tezpur (Sonitpur district, Assam), against hike in fares of buses, tempo and trucks amid the coronavirus pandemic.",0,crowd size=strong,1600187394,5978,17283,73724,5978,0
6978,IND79887,10-Sep-20,2020,1,Political violence,Battles,Armed clash,Military Forces of India (2014-),Police Forces of India (2014-) Border Security Force,1,Military Forces of Pakistan (2018-2022),,8,18,,356,South Asia,India,Jammu and Kashmir,Poonch,Mendhar,Digwar,33.6394,74.0757,2,Chandigarh Tribune,National,"On 10 September 2020, military forces of India and Pakistan exchanged fire across the LoC at Digwar sector area (Poonch district, J&K).",0,,1702343413,3561,10597,11380,11380,0
6982,IND79974,10-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party,6,Protesters (India),INC: Indian National Congress,6,66,,356,South Asia,India,Himachal Pradesh,Kullu,Kullu,Kullu,31.9585,77.1082,1,Amar Ujala; Chandigarh Tribune,Subnational,"On 10 September 2020, BJP workers staged a protest, in Kullu (HP), against a Congress MLA's hotel, accusing him of encroaching upon government land and also to support actress, Kangana Ranaut. INC staged a counter protest.",0,crowd size=no report,1709061534,2059,5383,14232,2059,0
6987,IND79728,10-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Andhra Pradesh,Krishna,Ibrahimpatnam,Ibrahimpatnam,16.5924,80.529,2,Times of India,National,"On 10 September 2020, farmers held a protest in a village near Ibrahimpatnam town (Krishna, AP) demanding land be granted to Mucherla farmers.",0,crowd size=no report,1714518460,15349,49649,78145,15349,0
